Date,Open,High,Low,Close,Volume,Adj Close
2004-08-19,100.0,104.06,95.96,100.34,44871300,50.119968
2004-08-20,101.01,109.08,100.5,108.31,22942800,54.10099
2004-08-23,110.75,113.48,109.05,109.4,18342800,54.645447
2004-08-24,111.24,111.6,103.57,104.87,15319700,52.382705
2004-08-25,104.96,108.0,103.88,106.0,9232100,52.947145
2004-08-26,104.95,107.95,104.66,107.91,7128600,53.90119
2004-08-27,108.1,108.62,105.69,106.15,6241200,53.022069
2004-08-30,105.28,105.49,102.01,102.01,5221400,50.954132
2004-08-31,102.3,103.71,102.16,102.37,4941200,51.133953
2004-09-01,102.7,102.97,99.67,100.25,9181600,50.075011
2004-09-02,99.19,102.37,98.94,101.51,15190400,50.704382
2004-09-03,100.95,101.74,99.32,100.01,5176800,49.95513
2004-09-07,101.01,102.0,99.61,101.58,5875200,50.739348
2004-09-08,100.74,103.03,100.5,102.3,5009200,51.098988
2004-09-09,102.53,102.71,101.0,102.31,4080900,51.103983
2004-09-10,101.6,106.56,101.3,105.33,8740200,52.612476
2004-09-13,106.63,108.41,106.46,107.5,7881300,53.696398
2004-09-14,107.45,112.0,106.79,111.49,10880300,55.689407
2004-09-15,110.56,114.23,110.2,112.0,10763900,55.944152
2004-09-16,112.34,115.8,111.65,113.97,9310200,56.928171
2004-09-17,114.42,117.49,113.55,117.49,9517400,58.686414
2004-09-20,116.95,121.6,116.77,119.36,10679200,59.620484
2004-09-21,119.81,120.42,117.51,117.84,7263000,58.86124
2004-09-22,117.4,119.67,116.81,118.38,7617100,59.130972
2004-09-23,118.84,122.63,117.02,120.82,8576100,60.349754
2004-09-24,120.94,124.1,119.76,119.83,9166700,59.855246
2004-09-27,119.56,120.88,117.8,118.26,7099600,59.071031
2004-09-28,121.3,127.4,120.21,126.86,17009400,63.366744
2004-09-29,126.7,135.02,126.23,131.08,30661400,65.474638
2004-09-30,129.9,132.3,129.0,129.6,13823300,64.735377
2004-10-01,130.8,134.24,128.9,132.58,15196700,66.223891
2004-10-04,135.25,136.87,134.03,135.06,13084600,67.462651
2004-10-05,134.66,138.53,132.24,138.37,15044200,69.116
2004-10-06,137.55,138.45,136.0,137.08,13444900,68.471649
2004-10-07,136.92,139.88,136.55,138.85,14182100,69.355762
2004-10-08,138.72,139.68,137.02,137.73,11122000,68.796322
