Date,Open,High,Low,Close,Volume,Adj Close
1962-01-02,578.5,578.5,572.0,572.0,387200,2.260487
1962-01-03,572.0,577.0,572.0,577.0,288000,2.280246
1962-01-04,577.0,577.0,571.0,571.25,256000,2.257523
1962-01-05,570.5,570.5,559.0,560.0,363200,2.213064
1962-01-08,559.5,559.5,545.0,549.5,544000,2.171569
1962-01-09,552.0,563.0,552.0,556.0,491200,2.197256
1962-01-10,557.0,559.5,557.0,557.0,299200,2.201208
1962-01-11,558.5,563.0,558.5,563.0,315200,2.22492
1962-01-12,564.0,568.0,564.0,564.0,435200,2.228872
1962-01-15,566.0,567.75,566.0,566.5,251200,2.238751
1962-01-16,566.0,566.0,560.5,560.5,251200,2.21504
1962-01-17,558.0,558.0,550.0,551.5,419200,2.179473
1962-01-18,553.0,558.5,553.0,553.0,371200,2.185401
1962-01-19,553.0,554.5,547.0,553.5,400000,2.187377
1962-01-22,553.5,559.0,552.0,552.5,275200,2.183425
1962-01-23,552.25,553.0,546.0,547.0,371200,2.161689
1962-01-24,547.0,550.0,544.25,550.0,408000,2.173545
1962-01-25,550.0,554.5,543.0,544.0,315200,2.149834
1962-01-26,544.0,546.0,541.0,541.25,243200,2.138966
1962-01-29,541.25,545.0,532.0,532.0,579200,2.102411
1962-01-30,532.0,535.0,525.25,525.25,736000,2.075736
1962-01-31,530.5,542.0,530.5,542.0,760000,2.14193
1962-02-01,547.5,556.0,547.5,554.5,640000,2.191329
1962-02-02,554.5,558.0,552.0,558.0,507200,2.20516
1962-02-05,558.0,558.0,548.0,551.0,312000,2.177497
1962-02-06,551.0,552.0,549.0,551.5,256000,2.17977
1962-02-07,552.0,555.0,552.0,552.0,251200,2.181746
1962-02-08,552.0,555.0,552.0,552.5,16000,2.183722
1962-02-09,552.5,556.5,550.0,556.5,432000,2.199532
1962-02-12,556.5,561.0,556.0,557.0,280000,2.201508
1962-02-13,557.0,557.5,548.0,548.0,256000,2.165936
1962-02-14,548.0,550.0,546.0,547.0,208000,2.161984
1962-02-15,547.0,547.0,544.5,545.0,227200,2.154079
1962-02-16,545.0,547.0,544.5,544.5,219200,2.152103
1962-02-19,544.5,547.0,538.0,539.0,280000,2.130364
1962-02-20,539.25,542.0,539.25,539.25,288000,2.131352
1962-02-21,539.25,543.0,535.25,535.25,363200,2.115542
1962-02-23,536.0,538.0,536.0,537.0,288000,2.122459
1962-02-26,537.0,537.5,534.0,535.0,299200,2.114554
1962-02-27,535.0,539.5,532.0,536.0,347200,2.118507
1962-02-28,536.0,537.0,533.0,537.0,267200,2.122459
1962-03-01,539.0,543.5,539.0,543.5,280000,2.14815
1962-03-02,548.0,551.0,548.0,548.0,243200,2.165936
1962-03-05,548.0,548.0,544.0,546.0,360000,2.158031
1962-03-06,546.0,548.5,545.0,546.5,184000,2.160007
1962-03-07,546.5,548.25,545.0,548.25,123200,2.166924
1962-03-08,548.25,549.5,545.0,549.5,184000,2.171865
1962-03-09,550.0,553.0,550.0,553.0,288000,2.185698
1962-03-12,553.0,554.5,551.0,552.5,280000,2.183722
1962-03-13,552.5,552.5,550.0,552.0,123200,2.181746
1962-03-14,552.0,553.5,550.0,551.0,195200,2.177793
1962-03-15,551.0,554.0,550.0,550.0,243200,2.173841
1962-03-16,550.0,552.5,550.0,552.5,160000,2.183722
1962-03-19,553.5,556.0,553.5,554.0,371200,2.189651
1962-03-20,553.0,553.0,550.5,550.5,160000,2.175817
1962-03-21,550.5,552.0,549.0,551.0,256000,2.177793
1962-03-22,549.0,549.0,545.0,545.0,240000,2.154079
1962-03-23,545.5,548.0,545.5,547.0,184000,2.161984
1962-03-26,547.0,549.0,546.0,546.75,131200,2.160995
1962-03-27,545.5,545.5,536.0,536.5,347200,2.120483
1962-03-28,537.0,541.0,537.0,539.5,328000,2.13234
1962-03-29,539.5,542.0,538.0,538.0,227200,2.126412
1962-03-30,537.0,537.0,530.25,532.75,435200,2.105661
1962-04-02,532.5,532.5,525.5,525.5,371200,2.077006
1962-04-03,525.0,525.0,507.0,512.5,912000,2.025625
1962-04-04,512.5,517.0,510.25,510.25,648000,2.016731
1962-04-05,513.0,521.0,513.0,521.0,912000,2.05922
1962-04-06,521.0,525.0,517.0,520.5,432000,2.057244
1962-04-09,520.5,523.5,517.0,521.0,16000,2.05922
1962-04-10,521.0,523.0,518.0,523.0,256000,2.067125
1962-04-11,523.0,527.0,516.0,516.0,528000,2.039458
1962-04-12,516.0,517.0,510.5,510.5,400000,2.01772
