Date,Open,High,Low,Close,Volume,Adj Close
1993-01-29,43.97,43.97,43.75,43.94,1003200,28.000838
1993-02-01,43.97,44.25,43.97,44.25,480500,28.19999
1993-02-02,44.22,44.38,44.12,44.34,201300,28.259704
1993-02-03,44.41,44.84,44.38,44.81,529400,28.558465
1993-02-04,44.97,45.09,44.47,45.0,531500,28.677956
1993-02-05,44.97,45.06,44.72,44.97,492100,28.658009
1993-02-08,44.97,45.12,44.91,44.97,596100,28.658009
1993-02-09,44.81,44.81,44.56,44.66,122100,28.458857
1993-02-10,44.66,44.75,44.53,44.72,379600,28.498687
1993-02-11,44.78,45.12,44.78,44.94,19500,28.638126
1993-02-12,44.88,44.88,44.59,44.59,42500,28.419026
1993-02-16,44.47,44.47,43.41,43.47,374800,27.702077
1993-02-17,43.47,43.53,43.28,43.44,210900,27.682194
1993-02-18,43.94,43.94,42.81,43.41,378100,27.662247
1993-02-19,43.41,43.56,43.34,43.56,34900,27.761855
1993-02-22,43.69,43.78,43.56,43.72,513600,27.861399
1993-02-23,43.84,43.88,43.47,43.69,373700,27.841516
1993-02-24,43.72,44.25,43.72,44.25,26300,28.19999
1993-02-25,44.22,44.38,44.12,44.34,44500,28.259704
1993-02-26,44.44,44.44,44.19,44.41,66200,28.299535
1993-03-01,44.56,44.56,44.22,44.28,66500,28.219874
1993-03-02,44.31,44.94,44.25,44.94,182400,28.638126
1993-03-03,45.0,45.16,44.94,45.12,280100,28.757617
1993-03-04,45.19,45.19,44.88,44.88,89500,28.598295
1993-03-05,44.94,45.12,44.72,44.75,40000,28.518634
1993-03-08,44.84,45.75,44.84,45.75,50800,29.155922
1993-03-09,45.66,45.69,45.5,45.59,169300,29.056314
1993-03-10,45.59,45.69,45.41,45.69,194400,29.116092
1993-03-11,45.72,45.84,45.5,45.56,70900,29.036431
1993-03-12,45.19,45.22,44.81,45.09,643600,28.73767
1993-03-15,45.06,45.31,45.06,45.31,310800,28.877109
1993-03-16,45.31,45.44,45.31,45.31,30800,28.877109
1993-03-17,45.25,45.25,44.97,45.03,21800,28.69784
1993-03-18,45.22,45.5,45.22,45.31,59300,28.877109
1993-03-19,45.28,45.28,45.03,45.03,66900,28.833377
1993-03-22,44.59,44.88,44.56,44.78,183400,28.673303
1993-03-23,44.91,44.94,44.81,44.88,55200,28.733362
1993-03-24,44.81,45.06,44.59,44.88,37200,28.733362
1993-03-25,44.91,45.25,44.84,45.16,110100,28.913414
1993-03-26,45.12,45.16,44.88,44.91,101500,28.75334
1993-03-29,44.94,45.31,44.94,45.09,87100,28.873396
1993-03-30,45.16,45.22,45.09,45.22,56000,28.953433
1993-03-31,45.34,45.47,45.19,45.19,111600,28.933456
1993-04-01,45.25,45.25,44.94,45.03,129500,28.833377
1993-04-02,44.66,44.66,44.09,44.09,59400,28.233098
1993-04-05,44.44,44.44,44.19,44.31,172200,28.373195
1993-04-06,44.41,44.41,44.06,44.19,129700,28.293158
1993-04-07,44.25,44.34,44.16,44.34,28000,28.393173
1993-04-08,44.53,44.53,44.09,44.28,180800,28.353154
1993-04-12,44.72,44.94,44.66,44.91,348500,28.75334
1993-04-13,44.88,45.16,44.84,45.0,146100,28.8134
1993-04-14,45.03,45.06,44.91,44.94,119600,28.773381
1993-04-15,44.91,45.03,44.75,44.94,148600,28.773381
1993-04-16,44.97,45.03,44.88,44.94,47900,28.773381
1993-04-19,44.94,45.06,44.72,44.75,157000,28.653325
1993-04-20,44.69,44.75,44.25,44.53,279500,28.513228
1993-04-21,44.62,44.62,44.38,44.5,67900,28.493251
1993-04-22,44.31,44.69,43.94,43.94,97700,28.133083
1993-04-23,43.84,43.97,43.69,43.75,106000,28.013027
1993-04-26,43.78,43.94,43.28,43.41,62600,27.792893
1993-04-27,43.34,43.88,43.34,43.88,156800,28.093065
1993-04-28,43.81,43.91,43.72,43.78,85900,28.033005
1993-04-29,43.88,43.97,43.62,43.97,85000,28.153061
1993-04-30,44.12,44.28,44.03,44.03,88500,28.193079
1993-05-03,44.09,44.31,43.91,44.31,80500,28.373195
1993-05-04,44.41,44.62,44.34,44.47,149100,28.47321
1993-05-05,44.47,44.75,44.47,44.59,109000,28.553247
1993-05-06,44.53,44.56,44.41,44.44,54700,28.453232
1993-05-07,44.47,44.47,44.28,44.34,68000,28.393173
1993-05-10,44.41,44.69,44.41,44.44,113900,28.453232
1993-05-11,44.44,44.62,44.31,44.62,42600,28.573288
1993-05-12,44.44,44.59,44.44,44.56,31000,28.533269
1993-05-13,44.38,44.38,44.0,44.03,129100,28.193079
1993-05-14,44.03,44.16,43.97,44.0,63500,28.173102
1993-05-17,44.12,44.16,43.94,44.16,34000,28.273117
1993-05-18,44.19,44.22,43.97,44.12,105200,28.253139
1993-05-19,44.12,45.03,43.84,45.03,50200,28.833377
1993-05-20,45.03,45.16,44.94,45.16,98200,28.913414
